,words,true_label,predicted_lable
26294,.,.,.
26295,You'll,PRT,PRT
26296,have,VERB,VERB
26297,to,PRT,PRT
26298,try,VERB,VERB
26299,it,PRON,PRON
26300,alone,ADV,ADV
26301,'',.,.
26302,.,.,.
26303,The,DET,DET
26304,sentry's,NOUN,NOUN
26305,saddled,VERB,VERB
26306,horse,NOUN,NOUN
26307,stood,VERB,VERB
26308,picketed,VERB,VERB
26309,nearby,ADV,ADV
26310,",",.,.
26311,having,VERB,VERB
26312,been,VERB,VERB
26313,kept,VERB,VERB
26314,handy,ADJ,ADJ
26315,in,ADP,ADP
26316,case,NOUN,NOUN
26317,of,ADP,ADP
26318,need,NOUN,NOUN
26319,.,.,.
26320,Mike,NOUN,NOUN
26321,took,VERB,VERB
26322,the,DET,DET
26323,bayonet,NOUN,NOUN
26324,from,ADP,ADP
26325,Dean's,NOUN,ADJ
26326,hand,NOUN,NOUN
26327,and,CONJ,CONJ
26328,slashed,VERB,VERB
26329,the,DET,DET
26330,picket,NOUN,NOUN
26331,line,NOUN,NOUN
26332,.,.,.
26333,``,.,.
26334,Up,PRT,PRT
26335,you,PRON,PRON
26336,go,VERB,VERB
26337,'',.,.
26338,!,.,.
26339,!,.,.
26340,He,PRON,PRON
26341,said,VERB,VERB
26342,.,.,.
26343,``,.,.
26344,Ride,VERB,VERB
26345,'',.,.
26346,!,.,.
26347,!,.,.
26348,Dean,NOUN,NOUN
26349,resisted,VERB,VERB
26350,Mike's,NOUN,ADJ
26351,attempt,NOUN,NOUN
26352,to,PRT,PRT
26353,push,VERB,VERB
26354,him,PRON,PRON
26355,toward,ADP,ADP
26356,the,DET,DET
26357,horse,NOUN,NOUN
26358,.,.,.
26359,``,.,.
26360,Why,ADV,ADV
26361,not,ADV,ADV
26362,you,PRON,PRON
26363,'',.,.
26364,?,.,.
26365,?,.,.
26366,He,PRON,PRON
26367,protested,VERB,VERB
26368,.,.,.
26369,``,.,.
26370,Dammit,PRT,NOUN
26371,'',.,.
26372,!,.,.
26373,!,.,.
26374,Mike,NOUN,NOUN
26375,said,VERB,VERB
26376,frantically,ADV,NOUN
26377,.,.,.
26378,``,.,.
26379,You're,PRT,PRT
26380,lighter,ADJ,ADJ
26381,than,ADP,ADP
26382,me,PRON,PRON
26383,.,.,.
26384,It's,PRT,PRT
26385,our,DET,DET
26386,only,ADJ,ADJ
26387,chance,NOUN,NOUN
26388,now,ADV,ADV
26389,.,.,.
26390,Try,VERB,VERB
26391,to,PRT,PRT
26392,find,VERB,VERB
26393,these,DET,DET
26394,Feds,NOUN,NOUN
26395,.,.,.
26396,The,DET,DET
26397,rest,NOUN,NOUN
26398,of,ADP,ADP
26399,us,PRON,PRON
26400,can,VERB,VERB
26401,fort,VERB,VERB
26402,up,PRT,PRT
26403,in,ADP,ADP
26404,the,DET,DET
26405,house,NOUN,NOUN
26406,and,CONJ,CONJ
26407,hang,VERB,VERB
26408,on,PRT,PRT
26409,until,ADP,ADP
26410,you,PRON,PRON
26411,get,VERB,VERB
26412,back,ADV,ADV
26413,.,.,.
26414,You're,PRT,PRT
26415,the,DET,DET
26416,one,NUM,NUM
26417,that's,PRT,PRT
26418,taking,VERB,VERB
26419,the,DET,DET
26420,big,ADJ,ADJ
26421,chance,NOUN,NOUN
26422,'',.,.
26423,.,.,.
26424,Dean,NOUN,NOUN
26425,still,ADV,ADV
26426,hesitated,VERB,VERB
26427,",",.,.
26428,but,CONJ,CONJ
26429,Mike,NOUN,NOUN
26430,lifted,VERB,VERB
26431,him,PRON,PRON
26432,almost,ADV,ADV
26433,bodily,ADV,ADV
26434,into,ADP,ADP
26435,the,DET,DET
26436,saddle,NOUN,NOUN
26437,and,CONJ,CONJ
26438,thrust,VERB,VERB
26439,the,DET,DET
26440,reins,NOUN,NOUN
26441,in,ADP,ADP
26442,his,DET,DET
26443,hand,NOUN,NOUN
26444,.,.,.
26445,``,.,.
26446,No,DET,DET
26447,telling,NOUN,VERB
26448,how,ADV,ADV
26449,good,ADJ,ADJ
26450,this,DET,DET
26451,horse,NOUN,NOUN
26452,is,VERB,VERB
26453,'',.,.
26454,",",.,.
26455,Mike,NOUN,NOUN
26456,panted,VERB,NOUN
26457,.,.,.
26458,``,.,.
26459,Favor,VERB,VERB
26460,him,PRON,PRON
26461,and,CONJ,CONJ
26462,save,VERB,VERB
26463,something,NOUN,NOUN
26464,in,ADP,ADP
26465,case,NOUN,NOUN
26466,you,PRON,PRON
26467,hit,VERB,VERB
26468,trouble,NOUN,NOUN
26469,.,.,.
26470,Watch,VERB,VERB
26471,out,PRT,PRT
26472,for,ADP,ADP
26473,Apaches,NOUN,NOUN
26474,when,ADV,ADV
26475,it,PRON,PRON
26476,comes,VERB,VERB
26477,daylight,NOUN,NOUN
26478,.,.,.
26479,Take,VERB,VERB
26480,the,DET,DET
26481,pistol,NOUN,NOUN
26482,.,.,.
26483,You,PRON,PRON
26484,might,VERB,VERB
26485,need,VERB,VERB
26486,it,PRON,PRON
26487,.,.,.
26488,We'll,PRT,PRT
26489,still,ADV,ADV
26490,have,VERB,VERB
26491,the,DET,DET
26492,rifle,NOUN,NOUN
26493,",",.,.
26494,and,CONJ,CONJ
26495,I,PRON,PRON
26496,might,VERB,VERB
26497,be,VERB,VERB
26498,able,ADJ,ADJ
26499,to,PRT,PRT
26500,round,VERB,VERB
26501,up,PRT,PRT
26502,some,DET,DET
26503,more,ADJ,ADJ
26504,.,.,.
26505,I'll,PRT,PRT
26506,stampede,VERB,VERB
26507,the,DET,DET
26508,rest,NOUN,NOUN
26509,of,ADP,ADP
26510,these,DET,DET
26511,horses,NOUN,NOUN
26512,so,ADP,ADP
26513,they,PRON,PRON
26514,can't,VERB,VERB
26515,chase,VERB,VERB
26516,you,PRON,PRON
26517,'',.,.
26518,.,.,.
26519,Dean,NOUN,NOUN
26520,leaned,VERB,VERB
26521,from,ADP,ADP
26522,the,DET,DET
26523,saddle,NOUN,NOUN
26524,and,CONJ,CONJ
26525,gave,VERB,VERB
26526,him,PRON,PRON
26527,a,DET,DET
26528,mighty,ADJ,ADV
26529,whack,NOUN,NOUN
26530,on,ADP,ADP
26531,the,DET,DET
26532,back,NOUN,NOUN
26533,.,.,.
26534,``,.,.
26535,McLish,NOUN,NOUN
26536,'',.,.
26537,",",.,.
26538,he,PRON,PRON
26539,said,VERB,VERB
26540,as,ADP,ADP
26541,he,PRON,PRON
26542,kicked,VERB,VERB
26543,the,DET,DET
26544,horse,NOUN,NOUN
26545,into,ADP,ADP
26546,motion,NOUN,NOUN
26547,",",.,.
26548,``,.,.
26549,I'd,PRT,PRT
26550,be,VERB,VERB
26551,a,DET,DET
26552,mighty,ADJ,ADV
26553,sad,ADJ,ADJ
26554,man,NOUN,NOUN
26555,if,ADP,ADP
26556,we,PRON,PRON
26557,never,ADV,ADV
26558,met,VERB,VERB
26559,again,ADV,ADV
26560,'',.,.
26561,.,.,.
26562,Then,ADV,ADV
26563,he,PRON,PRON
26564,was,VERB,VERB
26565,on,ADP,ADP
26566,his,DET,DET
26567,way,NOUN,NOUN
26568,at,ADP,ADP
26569,a,DET,DET
26570,gallop,NOUN,NOUN
26571,.,.,.
26572,Mike,NOUN,NOUN
26573,ran,VERB,VERB
26574,down,ADP,ADP
26575,the,DET,DET
26576,line,NOUN,NOUN
26577,",",.,.
26578,slashing,VERB,VERB
26579,picket,NOUN,NOUN
26580,ropes,NOUN,NOUN
26581,with,ADP,ADP
26582,the,DET,DET
26583,bayonet,NOUN,NOUN
26584,.,.,.
26585,He,PRON,PRON
26586,lifted,VERB,VERB
26587,a,DET,DET
26588,screeching,VERB,VERB
26589,war,NOUN,NOUN
26590,whoop,NOUN,NOUN
26591,.,.,.
26592,That,PRON,DET
26593,touched,VERB,VERB
26594,off,PRT,PRT
26595,a,DET,DET
26596,total,ADJ,NOUN
26597,stampede,NOUN,NOUN
26598,.,.,.
26599,He,PRON,PRON
26600,darted,VERB,VERB
26601,inside,ADP,ADP
26602,the,DET,DET
26603,stockade,NOUN,NOUN
26604,and,CONJ,CONJ
26605,freed,VERB,VERB
26606,the,DET,DET
26607,horses,NOUN,NOUN
26608,there,ADV,ADV
26609,.,.,.
26610,These,DET,DET
26611,poured,VERB,VERB
26612,through,ADP,ADP
26613,the,DET,DET
26614,gate,NOUN,NOUN
26615,and,CONJ,CONJ
26616,joined,VERB,VERB
26617,the,DET,DET
26618,flight,NOUN,NOUN
26619,.,.,.
26620,The,DET,DET
26621,animals,NOUN,NOUN
26622,thundered,VERB,VERB
26623,away,ADV,ADV
26624,into,ADP,ADP
26625,the,DET,DET
26626,moonlight,NOUN,NOUN
26627,",",.,.
26628,heading,VERB,NOUN
26629,for,ADP,ADP
26630,the,DET,DET
26631,ridges,NOUN,NOUN
26632,.,.,.
26633,The,DET,DET
26634,guerrillas,NOUN,NOUN
26635,were,VERB,VERB
26636,swarming,VERB,VERB
26637,from,ADP,ADP
26638,their,DET,DET
26639,bivouac,NOUN,NOUN
26640,at,ADP,ADP
26641,the,DET,DET
26642,west,NOUN,ADJ
26643,end,NOUN,NOUN
26644,of,ADP,ADP
26645,the,DET,DET
26646,enclosure,NOUN,NOUN
26647,.,.,.
26648,``,.,.
26649,Apaches,NOUN,NOUN
26650,'',.,.
26651,!,.,.
26652,!,.,.
26653,Mike,NOUN,NOUN
26654,yelled,VERB,VERB
26655,.,.,.
26656,``,.,.
26657,They're,PRT,PRT
26658,stealin',VERB,VERB
26659,the,DET,DET
26660,stock,NOUN,NOUN
26661,'',.,.
26662,!,.,.
26663,!,.,.
26664,He,PRON,PRON
26665,scuttled,VERB,VERB
26666,in,ADP,ADP
26667,shadow,NOUN,NOUN
26668,along,ADP,ADP
26669,the,DET,DET
26670,east,NOUN,ADJ
26671,wall,NOUN,NOUN
26672,of,ADP,ADP
26673,the,DET,DET
26674,stockade,NOUN,NOUN
26675,and,CONJ,CONJ
26676,then,ADV,ADV
26677,followed,VERB,VERB
26678,the,DET,DET
26679,south,NOUN,ADJ
26680,wall,NOUN,NOUN
26681,until,ADP,ADP
26682,he,PRON,PRON
26683,was,VERB,VERB
26684,at,ADP,ADP
26685,the,DET,DET
26686,rear,NOUN,NOUN
26687,of,ADP,ADP
26688,the,DET,DET
26689,two,NUM,NUM
26690,frame,NOUN,NOUN
26691,buildings,NOUN,NOUN
26692,.,.,.
26693,He,PRON,PRON
26694,crouched,VERB,VERB
26695,there,ADV,ADV
26696,.,.,.
26697,His,DET,DET
26698,shout,NOUN,NOUN
26699,had,VERB,VERB
26700,been,VERB,VERB
26701,taken,VERB,VERB
26702,up,PRT,PRT
26703,and,CONJ,CONJ
26704,repeated,VERB,VERB
26705,.,.,.
26706,The,DET,DET
26707,guerrillas,NOUN,NOUN
26708,were,VERB,VERB
26709,running,VERB,VERB
26710,across,ADP,ADP
26711,the,DET,DET
26712,parade,NOUN,NOUN
26713,ground,NOUN,NOUN
26714,and,CONJ,CONJ
26715,through,ADP,ADP
26716,the,DET,DET
26717,rear,ADJ,ADJ
26718,gate,NOUN,NOUN
26719,in,ADP,ADP
26720,the,DET,DET
26721,wake,NOUN,NOUN
26722,of,ADP,ADP
26723,the,DET,DET
26724,departing,VERB,VERB
26725,horses,NOUN,NOUN
26726,.,.,.
26727,All,PRT,PRT
26728,were,VERB,VERB
26729,carrying,VERB,VERB
26730,guns,NOUN,NOUN
26731,they,PRON,PRON
26732,had,VERB,VERB
26733,seized,VERB,VERB
26734,up,PRT,PRT
26735,",",.,.
26736,but,CONJ,CONJ
26737,they,PRON,PRON
26738,were,VERB,VERB
26739,half-clad,ADJ,ADJ
26740,or,CONJ,CONJ
26741,hardly,ADV,ADV
26742,clad,VERB,VERB
26743,at,ADP,ADP
26744,all,PRT,PRT
26745,.,.,.
26746,Durkin,NOUN,NOUN
26747,and,CONJ,CONJ
26748,Calhoun,NOUN,NOUN
26749,came,VERB,VERB
26750,running,VERB,VERB
26751,from,ADP,ADP
26752,the,DET,DET
26753,post,NOUN,NOUN
26754,.,.,.
26755,They,PRON,PRON
26756,had,VERB,VERB
26757,pistols,NOUN,NOUN
26758,in,ADP,ADP
26759,their,DET,DET
26760,hands,NOUN,NOUN
26761,.,.,.
26762,They,PRON,PRON
26763,bawled,VERB,VERB
26764,questions,NOUN,NOUN
26765,that,PRON,PRON
26766,were,VERB,VERB
26767,not,ADV,ADV
26768,answered,VERB,VERB
26769,in,ADP,ADP
26770,the,DET,DET
26771,uproar,NOUN,NOUN
26772,.,.,.
26773,They,PRON,PRON
26774,followed,VERB,VERB
26775,the,DET,DET
26776,others,NOUN,NOUN
26777,toward,ADP,ADP
26778,the,DET,DET
26779,east,NOUN,ADJ
26780,gate,NOUN,NOUN
26781,.,.,.
26782,Beyond,ADP,ADP
26783,the,DET,DET
26784,stockade,NOUN,NOUN
26785,rifles,NOUN,NOUN
26786,began,VERB,VERB
26787,to,PRT,PRT
26788,explode,VERB,VERB
26789,as,ADP,ADP
26790,some,DET,DET
26791,of,ADP,ADP
26792,the,DET,DET
26793,guerrillas,NOUN,NOUN
26794,fired,VERB,VERB
26795,at,ADP,ADP
26796,shadows,NOUN,NOUN
26797,that,ADP,ADP
26798,they,PRON,PRON
26799,imagined,VERB,VERB
26800,were,VERB,VERB
26801,Apaches,NOUN,NOUN
26802,.,.,.
26803,Mike,NOUN,NOUN
26804,made,VERB,VERB
26805,a,DET,DET
26806,dash,NOUN,NOUN
26807,to,ADP,ADP
26808,the,DET,DET
26809,rear,NOUN,NOUN
26810,of,ADP,ADP
26811,the,DET,DET
26812,frame,NOUN,NOUN
26813,buildings,NOUN,NOUN
26814,.,.,.
26815,He,PRON,PRON
26816,crawled,VERB,VERB
26817,beneath,ADP,ADP
26818,the,DET,DET
26819,two,NUM,NUM
26820,supply,NOUN,NOUN
26821,wagons,NOUN,NOUN
26822,which,DET,DET
26823,stood,VERB,VERB
26824,between,ADP,ADP
26825,the,DET,DET
26826,buildings,NOUN,NOUN
26827,and,CONJ,CONJ
26828,peered,VERB,VERB
26829,around,ADP,ADP
26830,a,DET,DET
26831,corner,NOUN,NOUN
26832,.,.,.
26833,The,DET,DET
26834,area,NOUN,NOUN
26835,was,VERB,VERB
26836,deserted,VERB,VERB
26837,.,.,.
26838,A,DET,DET
26839,man,NOUN,NOUN
26840,was,VERB,VERB
26841,standing,VERB,VERB
26842,in,ADP,ADP
26843,the,DET,DET
26844,open,ADJ,ADJ
26845,door,NOUN,NOUN
26846,of,ADP,ADP
26847,the,DET,DET
26848,lighted,VERB,VERB
26849,orderly,ADJ,ADJ
26850,room,NOUN,NOUN
26851,a,DET,DET
26852,few,ADJ,ADJ
26853,yards,NOUN,NOUN
26854,to,ADP,ADP
26855,Mike's,NOUN,VERB
26856,left,NOUN,VERB
26857,",",.,.
26858,but,CONJ,CONJ
26859,he,PRON,PRON
26860,",",.,.
26861,too,ADV,ADV
26862,",",.,.
26863,suddenly,ADV,ADV
26864,made,VERB,VERB
26865,up,PRT,PRT
26866,his,DET,DET
26867,mind,NOUN,NOUN
26868,and,CONJ,CONJ
26869,went,VERB,VERB
26870,racing,VERB,VERB
26871,to,PRT,PRT
26872,join,VERB,VERB
26873,the,DET,DET
26874,confused,VERB,VERB
26875,activity,NOUN,NOUN
26876,at,ADP,ADP
26877,the,DET,DET
26878,east,NOUN,ADJ
26879,end,NOUN,NOUN
26880,of,ADP,ADP
26881,the,DET,DET
26882,stockade,NOUN,NOUN
26883,.,.,.
26884,Mike,NOUN,NOUN
26885,crawled,VERB,VERB
26886,to,ADP,ADP
26887,the,DET,DET
26888,door,NOUN,NOUN
26889,and,CONJ,CONJ
26890,peered,VERB,VERB
26891,in,PRT,ADP
26892,.,.,.
26893,The,DET,DET
26894,orderly,ADJ,ADJ
26895,room,NOUN,NOUN
26896,seemed,VERB,VERB
26897,to,PRT,PRT
26898,be,VERB,VERB
26899,deserted,VERB,VERB
26900,.,.,.
26901,A,DET,DET
26902,lantern,NOUN,NOUN
26903,hung,VERB,VERB
26904,from,ADP,ADP
26905,a,DET,DET
26906,peg,NOUN,NOUN
26907,",",.,.
26908,giving,VERB,VERB
26909,light,NOUN,NOUN
26910,.,.,.
26911,Ducking,VERB,NOUN
26912,inside,ADV,ADV
26913,",",.,.
26914,he,PRON,PRON
26915,found,VERB,VERB
26916,that,ADP,ADP
26917,three,NUM,NUM
26918,rifles,NOUN,NOUN
26919,were,VERB,VERB
26920,stacked,VERB,VERB
26921,in,ADP,ADP
26922,a,DET,DET
26923,corner,NOUN,NOUN
26924,.,.,.
26925,A,DET,DET
26926,brace,NOUN,NOUN
26927,of,ADP,ADP
26928,pistols,NOUN,NOUN
26929,",",.,.
26930,holstered,VERB,NOUN
26931,on,ADP,ADP
26932,belts,NOUN,NOUN
26933,",",.,.
26934,hung,VERB,VERB
26935,from,ADP,ADP
26936,a,DET,DET
26937,peg,NOUN,NOUN
26938,",",.,.
26939,along,ADP,ADV
26940,with,ADP,ADP
26941,ammunition,NOUN,NOUN
26942,pouches,NOUN,NOUN
26943,.,.,.
26944,An,DET,DET
26945,ammunition,NOUN,NOUN
26946,case,NOUN,NOUN
26947,stood,VERB,VERB
26948,open,ADJ,ADV
26949,",",.,.
26950,containing,VERB,VERB
26951,canisters,NOUN,X
26952,which,DET,DET
26953,contained,VERB,VERB
26954,powder,NOUN,NOUN
26955,cartridges,NOUN,NOUN
26956,.,.,.
26957,Mike,NOUN,NOUN
26958,seized,VERB,VERB
26959,a,DET,DET
26960,blanket,NOUN,NOUN
26961,from,ADP,ADP
26962,a,DET,DET
26963,pallet,NOUN,NOUN
26964,in,ADP,ADP
26965,a,DET,DET
26966,corner,NOUN,NOUN
26967,",",.,.
26968,spread,VERB,VERB
26969,it,PRON,PRON
26970,on,ADP,ADP
26971,the,DET,DET
26972,floor,NOUN,NOUN
26973,and,CONJ,CONJ
26974,used,VERB,VERB
26975,it,PRON,PRON
26976,to,PRT,PRT
26977,form,VERB,VERB
26978,a,DET,DET
26979,bag,NOUN,NOUN
26980,in,ADP,ADP
26981,which,DET,DET
26982,he,PRON,PRON
26983,placed,VERB,VERB
26984,his,DET,DET
26985,booty,NOUN,NOUN
26986,.,.,.
26987,Shouldering,VERB,VERB
26988,the,DET,DET
26989,load,NOUN,NOUN
26990,he,PRON,PRON
26991,peered,VERB,VERB
26992,from,ADP,ADP
26993,the,DET,DET
26994,door,NOUN,NOUN
26995,.,.,.
26996,His,DET,DET
26997,looting,VERB,VERB
26998,of,ADP,ADP
26999,the,DET,DET
27000,orderly,ADJ,ADJ
27001,room,NOUN,NOUN
27002,had,VERB,VERB
27003,taken,VERB,VERB
27004,only,ADV,ADV
27005,a,DET,DET
27006,minute,NOUN,NOUN
27007,or,CONJ,CONJ
27008,two,NUM,NUM
27009,and,CONJ,CONJ
27010,the,DET,DET
27011,vicinity,NOUN,NOUN
27012,was,VERB,VERB
27013,still,ADV,ADV
27014,clear,ADJ,ADJ
27015,of,ADP,ADP
27016,guerrillas,NOUN,NOUN
27017,.,.,.
27018,He,PRON,PRON
27019,looked,VERB,VERB
27020,at,ADP,ADP
27021,the,DET,DET
27022,looming,VERB,VERB
27023,hoods,NOUN,NOUN
27024,of,ADP,ADP
27025,the,DET,DET
27026,supply,NOUN,NOUN
27027,wagons,NOUN,NOUN
27028,",",.,.
27029,struck,VERB,VERB
27030,by,ADP,ADP
27031,a,DET,DET
27032,new,ADJ,ADJ
27033,inspiration,NOUN,NOUN
27034,.,.,.
27035,He,PRON,PRON
27036,set,VERB,VERB
27037,his,DET,DET
27038,bundle,NOUN,NOUN
27039,down,PRT,PRT
27040,.,.,.
27041,Snatching,VERB,VERB
27042,the,DET,DET
27043,lantern,NOUN,NOUN
27044,from,ADP,ADP
27045,its,DET,DET
27046,peg,NOUN,NOUN
27047,",",.,.
27048,he,PRON,PRON
27049,shattered,VERB,VERB
27050,its,DET,DET
27051,globe,NOUN,NOUN
27052,with,ADP,ADP
27053,a,DET,DET
27054,blow,NOUN,NOUN
27055,against,ADP,ADP
27056,a,DET,DET
27057,post,NOUN,NOUN
27058,.,.,.
27059,He,PRON,PRON
27060,picked,VERB,VERB
27061,up,PRT,PRT
27062,the,DET,DET
27063,powder,NOUN,NOUN
27064,canister,NOUN,NOUN
27065,and,CONJ,CONJ
27066,ran,VERB,VERB
27067,out,PRT,PRT
27068,.,.,.
27069,Bursting,VERB,VERB
27070,paper,NOUN,NOUN
27071,cartridges,NOUN,NOUN
27072,",",.,.
27073,he,PRON,PRON
27074,scattered,VERB,VERB
27075,powder,NOUN,NOUN
27076,beneath,ADP,ADP
27077,the,DET,DET
27078,nearest,ADJ,ADJ
27079,wagon,NOUN,NOUN
27080,and,CONJ,CONJ
27081,dumped,VERB,VERB
27082,the,DET,DET
27083,contents,NOUN,NOUN
27084,of,ADP,ADP
27085,the,DET,DET
27086,canister,NOUN,NOUN
27087,upon,ADP,ADP
27088,it,PRON,PRON
27089,.,.,.
27090,He,PRON,PRON
27091,shouldered,VERB,VERB
27092,the,DET,DET
27093,blanket,NOUN,NOUN
27094,again,ADV,ADV
27095,",",.,.
27096,backed,VERB,VERB
27097,off,PRT,PRT
27098,",",.,.
27099,and,CONJ,CONJ
27100,tossed,VERB,VERB
27101,the,DET,DET
27102,lantern,NOUN,NOUN
27103,with,ADP,ADP
27104,its,DET,DET
27105,open,ADJ,ADJ
27106,wick,NOUN,NOUN
27107,beneath,ADP,ADP
27108,the,DET,DET
27109,wagon,NOUN,NOUN
27110,.,.,.
27111,He,PRON,PRON
27112,turned,VERB,VERB
27113,and,CONJ,CONJ
27114,raced,VERB,VERB
27115,across,ADP,ADP
27116,the,DET,DET
27117,parade,NOUN,NOUN
27118,ground,NOUN,NOUN
27119,toward,ADP,ADP
27120,the,DET,DET
27121,rock,NOUN,NOUN
27122,house,NOUN,NOUN
27123,.,.,.
27124,Powder,NOUN,NOUN
27125,flame,NOUN,NOUN
27126,gushed,VERB,VERB
27127,beneath,ADP,ADP
27128,the,DET,DET
27129,wagon,NOUN,NOUN
27130,.,.,.
27131,The,DET,DET
27132,stockade,NOUN,NOUN
27133,was,VERB,VERB
27134,brilliantly,ADV,ADV
27135,lighted,VERB,VERB
27136,and,CONJ,CONJ
27137,the,DET,DET
27138,guerrillas,NOUN,NOUN
27139,sighted,VERB,VERB
27140,him,PRON,PRON
27141,.,.,.
27142,They,PRON,PRON
27143,realized,VERB,VERB
27144,the,DET,DET
27145,truth,NOUN,NOUN
27146,.,.,.
27147,Bullets,NOUN,NOUN
27148,began,VERB,VERB
27149,to,PRT,PRT
27150,snap,VERB,VERB
27151,past,ADP,ADP
27152,him,PRON,PRON
27153,.,.,.
27154,One,NUM,NOUN
27155,struck,VERB,VERB
27156,the,DET,DET
27157,muzzle,NOUN,NOUN
27158,of,ADP,ADP
27159,one,NUM,NUM
27160,of,ADP,ADP
27161,the,DET,DET
27162,rifles,NOUN,NOUN
27163,that,PRON,PRON
27164,projected,VERB,VERB
27165,from,ADP,ADP
27166,the,DET,DET
27167,shoulder,NOUN,NOUN
27168,pack,NOUN,NOUN
27169,.,.,.
27170,Its,DET,DET
27171,force,NOUN,NOUN
27172,spun,VERB,VERB
27173,him,PRON,PRON
27174,around,ADV,ADV
27175,",",.,.
27176,but,CONJ,CONJ
27177,he,PRON,PRON
27178,recovered,VERB,VERB
27179,and,CONJ,CONJ
27180,got,VERB,VERB
27181,into,ADP,ADP
27182,stride,NOUN,NOUN
27183,again,ADV,ADV
27184,.,.,.
27185,A,DET,DET
27186,bullet,NOUN,NOUN
27187,tore,VERB,VERB
27188,the,DET,DET
27189,earth,NOUN,NOUN
27190,from,ADP,ADP
27191,beneath,ADP,ADP
27192,his,DET,DET
27193,foot,NOUN,NOUN
27194,when,ADV,ADV
27195,he,PRON,PRON
27196,was,VERB,VERB
27197,a,DET,DET
27198,stride,NOUN,NOUN
27199,or,CONJ,CONJ
27200,two,NUM,NUM
27201,from,ADP,ADP
27202,safety,NOUN,NOUN
27203,.,.,.
27204,Another,DET,DET
27205,struck,VERB,VERB
27206,him,PRON,PRON
27207,heavily,ADV,ADV
27208,in,ADP,ADP
27209,the,DET,DET
27210,thigh,NOUN,NOUN
27211,and,CONJ,CONJ
27212,he,PRON,PRON
27213,went,VERB,VERB
27214,down,PRT,PRT
27215,.,.,.
27216,Guerrillas,NOUN,NOUN
27217,were,VERB,VERB
27218,racing,VERB,VERB
27219,toward,ADP,ADP
27220,him,PRON,PRON
27221,.,.,.
27222,Susan,NOUN,NOUN
27223,and,CONJ,CONJ
27224,Julia,NOUN,NOUN
27225,came,VERB,VERB
27226,from,ADP,ADP
27227,the,DET,DET
27228,door,NOUN,NOUN
27229,and,CONJ,CONJ
27230,dragged,VERB,VERB
27231,him,PRON,PRON
27232,with,ADP,ADP
27233,them,PRON,PRON
27234,.,.,.
27235,The,DET,DET
27236,three,NUM,NUM
27237,of,ADP,ADP
27238,them,PRON,PRON
27239,floundered,VERB,VERB
27240,through,ADP,ADP
27241,the,DET,DET
27242,door,NOUN,NOUN
27243,into,ADP,ADP
27244,the,DET,DET
27245,interior,NOUN,NOUN
27246,and,CONJ,CONJ
27247,fell,VERB,VERB
27248,in,ADP,ADP
27249,a,DET,DET
27250,heap,NOUN,NOUN
27251,.,.,.
27252,Susan,NOUN,NOUN
27253,bounced,VERB,VERB
27254,to,ADP,ADP
27255,her,DET,DET
27256,feet,NOUN,NOUN
27257,and,CONJ,CONJ
27258,slammed,VERB,VERB
27259,the,DET,DET
27260,door,NOUN,NOUN
27261,.,.,.
27262,She,PRON,PRON
27263,crouched,VERB,VERB
27264,aside,ADV,ADV
27265,as,ADP,ADP
27266,bullets,NOUN,NOUN
27267,beat,VERB,VERB
27268,at,ADP,ADP
27269,the,DET,DET
27270,portal,NOUN,NOUN
27271,",",.,.
27272,chewing,VERB,VERB
27273,into,ADP,ADP
27274,the,DET,DET
27275,planks,NOUN,NOUN
27276,.,.,.
27277,Some,DET,DET
27278,tore,VERB,VERB
27279,entirely,ADV,ADV
27280,through,ADP,ADP
27281,the,DET,DET
27282,whipsawed,VERB,NOUN
27283,post,NOUN,ADP
27284,oak,NOUN,NOUN
27285,.,.,.
27286,The,DET,DET
27287,iron,NOUN,NOUN
27288,hinges,NOUN,VERB
27289,held,VERB,VERB
27290,",",.,.
27291,but,CONJ,CONJ
27292,the,DET,DET
27293,planks,NOUN,NOUN
27294,were,VERB,VERB
27295,in,ADP,ADP
27296,danger,NOUN,NOUN
27297,of,ADP,ADP
27298,being,VERB,VERB
27299,torn,VERB,VERB
27300,from,ADP,ADP
27301,the,DET,DET
27302,crossbars,NOUN,NOUN
27303,.,.,.
27304,Mike,NOUN,NOUN
27305,rolled,VERB,VERB
27306,to,ADP,ADP
27307,Susan,NOUN,NOUN
27308,",",.,.
27309,grasped,VERB,VERB
27310,her,PRON,PRON
27311,around,ADP,ADP
27312,the,DET,DET
27313,knees,NOUN,NOUN
27314,",",.,.
27315,dragging,VERB,VERB
27316,her,PRON,PRON
27317,off,ADP,ADP
27318,her,DET,DET
27319,feet,NOUN,NOUN
27320,.,.,.
27321,He,PRON,PRON
27322,hovered,VERB,VERB
27323,over,ADP,ADP
27324,her,PRON,PRON
27325,to,PRT,PRT
27326,shield,VERB,VERB
27327,her,PRON,PRON
27328,",",.,.
27329,for,ADP,ADP
27330,spent,VERB,VERB
27331,bullets,NOUN,NOUN
27332,were,VERB,VERB
27333,thudding,VERB,NOUN
27334,against,ADP,ADP
27335,the,DET,DET
27336,rear,ADJ,NOUN
27337,walls,NOUN,NOUN
27338,.,.,.
27339,He,PRON,PRON
27340,peered,VERB,VERB
27341,from,ADP,ADP
27342,a,DET,DET
27343,loophole,NOUN,NOUN
27344,.,.,.
27345,Guerrillas,NOUN,NOUN
